original_language;popularity;title;vote_average;vote_count;price
en;17,924927;Heat;7,7;1886;7,99
en;12,140733;Balto;7,1;423;6,99
en;5,092;Nixon;7,1;72;6,99
en;10,137389;Casino;7,8;1343;7,99
en;10,673167;Sense and Sensibility;7,2;364;6,99
en;10,332025;Leaving Las Vegas;7,1;365;6,99
en;12,297305;Twelve Monkeys;7,4;2470;6,99
en;18,45743;Se7en;8,1;5915;7,99
en;16,302466;The Usual Suspects;8,1;3334;7,99
en;0,513391;A Midwinter's Tale;7,5;6;7,99
en;5,951077;The Bridges of Madison County;7,3;397;6,99
en;20,755149;Braveheart;7,7;3404;7,99
en;14,092713;Taxi Driver;8,1;2632;7,99
en;0,372697;Margaret's Museum;7,5;2;7,99
en;0,243986;Anne Frank Remembered;7,3;4;6,99
en;7,415144;The Basketball Diaries;7,2;472;6,99
en;18,761467;Apollo 13;7,3;1637;6,99
en;3,620388;Crumb;7,6;71;7,99
en;10,058329;Living in Oblivion;7,2;64;6,99
en;0,119713;Reckless;10;1;9,99
en;8,180047;Safe;7,2;62;6,99
en;5,552946;Smoke;7,2;115;6,99
en;3,525649;Before the Rain;7,7;45;7,99
en;11,304979;Before Sunrise;7,7;984;7,99
en;2,686342;The Cure;7,2;58;6,99
en;10,513367;Clerks;7,4;769;6,99
en;5,484156;Death and the Maiden;7,1;92;6,99
en;5,8025;Dolores Claiborne;7,1;183;6,99
en;11,720358;Ed Wood;7,3;639;6,99
en;9,47666;Hoop Dreams;7,7;91;7,99
en;11,970205;Interview with the Vampire;7,2;1558;6,99
en;42,149697;Star Wars;8,1;6778;7,99
en;7,731725;A Little Princess;7,4;207;6,99
en;12,199047;Legends of the Fall;7,2;636;6,99
en;0,769522;Nina Takes a Lover;7,4;4;6,99
en;4,025276;Once Were Warriors;7,6;106;7,99
en;140,950236;Pulp Fiction;8,3;8670;7,99
en;7,772505;Quiz Show;7,1;262;6,99
en;51,645403;The Shawshank Redemption;8,5;8358;7,99
en;10,3919;What's Eating Gilbert Grape;7,5;943;7,99
en;8,328596;The Adventures of Priscilla, Queen of the Desert;7,2;174;6,99
en;15,799336;The Crow;7,3;980;6,99
en;48,307194;Forrest Gump;8,2;8147;7,99
en;21,605761;The Lion King;8;5520;7,99
en;0,381704;The Secret Adventures of Tom Thumb;7,1;8;6,99
en;0,405392;Girl in the Cadillac;10;1;9,99
en;8,497643;In the Mouth of Madness;7,1;307;6,99
en;1,888534;8 Seconds;7,2;22;6,99
en;6,115628;A Bronx Tale;7,4;447;6,99
en;8,698509;Carlito's Way;7,7;805;7,99
en;6,8652;Dazed and Confused;7,4;588;6,99
en;10,08937;The Fugitive;7,2;1240;6,99
en;7,550545;The Hudsucker Proxy;7,1;280;6,99
en;7,405895;In the Name of the Father;7,6;363;7,99
en;8,863776;Jurassic Park;7,6;4956;7,99
en;8,939404;Manhattan Murder Mystery;7,1;169;6,99
en;5,260924;Menace II Society;7,2;179;6,99
en;8,62724;Much Ado About Nothing;7,2;194;6,99
en;13,373006;Philadelphia;7,6;1019;7,99
en;12,222576;The Remains of the Day;7,5;213;7,99
en;5,914833;Rudy;7,2;187;6,99
en;41,725123;Schindler's List;8,3;4436;7,99
en;12,048587;Searching for Bobby Fischer;7,3;100;6,99
en;6,499523;The Secret Garden;7,1;232;6,99
en;96,272374;Blade Runner;7,9;3833;7,99
en;0,873068;Thirty Two Short Films About Glenn Gould;7,4;9;6,99
en;17,730913;The Nightmare Before Christmas;7,6;2135;7,99
en;11,338194;Tombstone;7,4;632;6,99
en;17,189328;True Romance;7,5;762;7,99
en;1,273617;The War Room;7,3;19;6,99
en;3,456868;Ciao, Professore!;7,2;74;6,99
en;0,702543;Home Alone;7,1;2487;6,99
en;16,357419;Aladdin;7,4;3495;6,99
en;22,661695;Terminator 2: Judgment Day;7,7;4274;7,99
en;11,654349;Dances with Wolves;7,6;1084;7,99
en;4,307222;The Silence of the Lambs;8,1;4549;7,99
en;23,433511;Beauty and the Beast;7,5;3029;7,99
en;11,722424;The Wild Bunch;7,7;266;7,99
en;12,61469;Fargo;7,7;2080;7,99
en;2,420301;Jane Eyre;7,1;51;6,99
en;9,834047;The Aristocats;7,1;1287;6,99
en;10,326213;Primal Fear;7,4;644;6,99
en;0,062388;Hostile Intentions;8;1;7,99
en;0,117662;The Run of the Country;8;2;7,99
en;6,505272;Dead Man;7,2;397;6,99
en;0,037443;The Haunted World of Edward D. Wood, Jr.;10;1;9,99
en;6,796858;A Close Shave;7,5;223;7,99
en;9,80398;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;8;1472;7,99
en;19,348466;Trainspotting;7,8;2737;7,99
en;0,940228;Stonewall;7,2;10;6,99
en;41,109264;The Godfather;8,5;6024;7,99
en;6,038784;Mother Night;7,1;13;6,99
en;8,888069;The Philadelphia Story;7,7;196;7,99
en;11,064858;Singin' in the Rain;7,9;747;7,99
en;10,879289;Breakfast at Tiffany's;7,6;1082;7,99
en;18,20822;Vertigo;8;1162;7,99
en;17,911314;Rear Window;8,2;1531;7,99
en;6,465257;It Happened One Night;7,7;283;7,99
en;14,545058;Gaslight;7,2;73;6,99
en;2,863935;The Gay Divorcee;7,2;17;6,99
en;12,410427;North by Northwest;7,8;1062;7,99
en;11,994281;The Apartment;8,1;498;7,99
en;11,845107;Some Like It Hot;8;835;7,99
en;7,098731;Charade;7,7;351;7,99
en;13,916101;Casablanca;7,9;1462;7,99
en;5,782544;The Maltese Falcon;7,8;435;7,99
en;12,494394;My Fair Lady;7,4;361;6,99
en;7,359741;Sabrina;7,4;284;6,99
en;11,954806;Roman Holiday;7,8;502;7,99
en;22,064932;The Wizard of Oz;7,4;1689;6,99
en;14,240357;Gone with the Wind;7,7;995;7,99
en;11,709777;Sunset Boulevard;8,2;533;7,99
en;15,811921;Citizen Kane;8;1244;7,99
en;22,494622;2001: A Space Odyssey;7,9;3075;7,99
en;12,06308;All About Eve;8;367;7,99
en;8,590813;Rebecca;7,7;346;7,99
en;10,135111;Notorious;7,8;345;7,99
en;5,47596;Spellbound;7,3;166;6,99
en;9,813419;An Affair to Remember;7,1;101;6,99
en;5,490505;To Catch a Thief;7,1;299;6,99
en;3,573935;The Band Wagon;7,1;46;6,99
en;5,120036;Ninotchka;7,3;77;6,99
en;8,196679;Love in the Afternoon;7,3;55;6,99
en;10,685036;The Adventures of Robin Hood;7,6;170;7,99
en;9,884516;Laura;7,6;173;7,99
en;3,008607;The Ghost and Mrs. Muir;7,3;59;6,99
en;7,122093;Top Hat;7,4;62;6,99
en;10,864284;Giant;7,5;169;7,99
en;6,42883;East of Eden;7,5;163;7,99
en;10,573867;The Thin Man;7,4;97;6,99
en;9,88321;His Girl Friday;7,5;171;7,99
en;15,031588;It's a Wonderful Life;8;1103;7,99
en;8,168694;Mr. Smith Goes to Washington;7,9;245;7,99
en;6,60577;Bringing Up Baby;7,6;201;7,99
en;5,865697;The 39 Steps;7,4;217;6,99
en;14,384198;Night of the Living Dead;7,5;591;7,99
en;6,636872;The African Queen;7,4;232;6,99
en;11,794846;Cat on a Hot Tin Roof;7,6;168;7,99
en;10,750619;Meet John Doe;7,3;52;6,99
en;15,11549;Mary Poppins;7,4;1217;6,99
en;9,06773;The Sound of Music;7,4;966;6,99
en;16,640522;Die Hard;7,5;4005;7,99
en;9,198283;Sleepers;7,3;729;6,99
en;3,786353;Shall We Dance;7,9;22;7,99
en;3,433265;Murder, My Sweet;7,2;48;6,99
en;0,347124;For the Moment;7,4;3;6,99
en;12,416635;Willy Wonka & the Chocolate Factory;7,4;826;6,99
en;7,667964;The Innocents;7,5;126;7,99
en;11,400353;A Fish Called Wanda;7,1;576;6,99
en;10,714173;Life of Brian;7,7;1230;7,99
en;4,473327;The Great Race;7,2;64;6,99
en;12,109198;Bonnie and Clyde;7,6;384;7,99
en;7,853231;Dial M for Murder;7,9;539;7,99
en;14,044122;Dirty Dancing;7,1;1371;6,99
en;12,22034;Reservoir Dogs;8,1;3821;7,99
en;18,206972;Platoon;7,5;1236;7,99
en;6,792215;Glengarry Glen Ross;7,5;330;7,99
en;19,358546;E.T. the Extra-Terrestrial;7,3;3359;6,99
en;10,968169;Rebel Without a Cause;7,6;351;7,99
en;7,301719;A Streetcar Named Desire;7,6;291;7,99
en;2,772039;The Funeral;7,3;31;6,99
en;12,252186;On Golden Pond;7,3;101;6,99
en;9,809585;The Abyss;7,1;822;6,99
en;10,43389;Monty Python and the Holy Grail;7,8;1742;7,99
en;3,60795;When We Were Kings;7,3;54;6,99
en;7,771233;The Wrong Trousers;7,6;266;7,99
en;10,091381;Raw Deal;7,2;19;6,99
en;5,970136;The Cook, the Thief, His Wife & Her Lover;7,3;137;6,99
en;8,548518;Paths of Glory;8,2;565;7,99
en;5,841931;My Left Foot: The Story of Christy Brown;7,5;208;7,99
en;5,070224;The Thin Blue Line;7,9;109;7,99
en;4,101295;Paris is Burning;8,2;67;7,99
en;35,529554;One Flew Over the Cuckoo's Nest;8,3;3001;7,99
en;19,470959;The Empire Strikes Back;8,2;5998;7,99
en;15,15267;The Princess Bride;7,6;1518;7,99
